"","Clim01","Clim02","Clim03","Clim04","Clim05","Clim06","Clim07","Clim08","Clim09","Clim10","Clim11","Clim12","Clim13","Clim14","Clim15","Clim16","Clim17","Clim18","Clim19","dem","arachide"
"182",284,157,61,2305,406,152,254,289,283,311,250,450,148,0,139,374,0,31,1,34,29
"183",276,159,64,2023,396,148,248,279,276,300,245,478,155,0,140,397,1,33,3,39,25
"184",271,158,66,1851,382,145,237,280,265,291,242,515,187,0,149,445,0,138,2,31,300
"185",278,160,66,1878,389,149,240,286,272,296,249,542,194,0,146,466,0,143,2,24,6500
"186",268,151,65,1978,375,145,230,277,276,288,236,408,143,0,142,347,1,105,4,54,250
"187",274,158,67,1831,383,148,235,283,267,293,245,540,197,0,146,465,0,140,2,22,400
"188",275,159,64,2032,395,147,248,278,275,299,244,501,162,0,140,415,0,36,3,50,560
"189",258,139,70,1848,341,143,198,274,244,276,230,403,151,0,151,349,1,241,3,46,100
"190",271,153,66,1697,376,147,229,277,268,288,244,595,213,0,147,511,0,160,2,12,700
"191",272,160,65,1918,390,145,245,276,271,293,242,507,174,0,141,426,0,36,2,37,400
"192",265,150,68,1732,363,144,219,276,257,282,238,484,176,0,148,418,1,116,3,36,375
"193",283,157,62,2255,405,153,252,287,282,310,250,450,148,0,139,374,0,31,1,47,340
"194",270,160,66,1899,385,143,242,277,250,290,240,534,198,0,147,459,0,148,1,24,1600
"195",274,159,64,1997,394,147,247,277,275,298,244,510,165,0,138,421,0,38,3,55,175
"196",268,140,68,1520,357,152,205,276,262,282,243,630,241,0,151,547,0,159,2,8,400
"197",272,160,65,1885,388,145,243,279,269,292,243,548,195,0,145,467,0,155,2,26,300
"198",256,132,70,1802,334,146,188,273,240,274,230,377,142,0,153,333,0,224,2,44,200
"199",254,128,69,1868,331,146,185,273,236,273,228,372,140,0,151,327,0,327,2,39,300
"200",271,160,65,1875,387,143,244,277,267,290,241,539,194,0,146,459,0,152,2,30,350
"201",274,147,67,1510,374,155,219,278,272,289,250,630,229,0,147,539,0,43,2,8,175
"202",275,159,67,1848,385,148,237,285,269,294,247,553,201,0,147,477,0,143,2,19,1200
"203",269,152,64,2041,380,146,234,278,279,291,237,398,137,0,142,337,1,102,4,45,25
"204",264,149,70,1617,355,144,211,275,255,279,238,547,213,0,153,479,1,128,2,24,50
"205",270,157,67,1831,378,145,233,279,263,288,240,507,184,0,147,438,0,134,2,46,400
"206",277,160,66,1852,390,149,241,286,272,296,248,547,194,0,147,470,0,147,2,14,350
"207",272,160,65,1916,389,145,244,276,270,293,242,511,176,0,142,430,0,36,2,37,600
"208",276,159,67,1812,385,148,237,284,270,294,248,552,201,0,147,477,0,142,2,18,490
"209",265,147,70,1605,355,145,210,275,266,280,239,559,218,0,154,491,0,131,2,19,150
"210",267,155,68,1730,367,142,225,277,258,284,239,547,208,0,152,478,0,130,2,27,56
"211",255,129,68,1762,334,147,187,272,240,273,230,398,148,0,152,351,0,232,2,42,2000
"212",273,161,66,1833,389,147,242,278,271,293,245,555,190,0,142,471,0,37,2,37,375
"213",272,158,67,1820,381,146,235,282,266,291,244,538,197,0,149,464,0,138,2,29,400
"214",272,133,67,1247,360,164,196,277,270,282,252,741,269,0,145,627,0,217,2,34,500
"215",272,158,67,1843,381,146,235,281,266,291,243,524,191,0,149,453,0,137,2,33,467
"216",276,159,66,1766,389,149,240,281,273,294,248,574,191,0,144,487,0,38,2,36,120
"217",285,157,62,2243,406,155,251,291,281,310,251,420,138,0,138,351,1,27,2,15,360
"218",272,160,65,1918,390,145,245,276,271,293,242,507,174,0,141,426,0,36,2,37,400
"219",256,132,70,1802,334,146,188,273,240,274,230,377,142,0,153,333,0,224,2,44,67
"220",265,151,69,1645,359,143,216,276,256,280,239,543,211,0,153,478,0,127,1,21,500
"221",275,159,66,1761,388,149,239,281,272,293,248,571,191,0,143,485,0,165,2,34,375
"222",273,161,66,1824,389,146,243,278,271,293,245,554,190,0,142,469,0,38,2,39,360
"223",251,121,67,1963,327,147,180,272,232,273,225,358,135,0,157,316,0,283,2,43,67
"224",272,155,64,2079,388,148,240,280,267,295,240,414,143,0,144,352,1,113,3,38,90
"225",266,154,69,1687,365,142,223,277,257,282,239,543,207,0,151,475,0,129,2,21,200
"226",263,145,70,1683,351,144,207,275,252,279,237,490,184,0,153,428,0,296,2,26,150
"227",254,128,69,1865,331,146,185,272,237,273,228,366,137,0,154,323,0,285,2,44,75
"228",270,158,67,1844,379,144,235,279,264,289,241,509,185,0,147,440,0,135,2,41,286
"229",255,129,68,1762,334,147,187,272,240,273,230,398,148,0,152,351,0,232,2,42,300
"230",252,124,68,1853,328,147,181,271,234,272,227,364,137,0,154,322,0,287,2,48,300
"231",275,159,67,1848,385,148,237,285,269,294,247,553,201,0,147,477,0,143,2,22,100
"232",272,161,66,1885,388,145,243,279,269,292,243,547,193,0,144,466,0,156,2,29,175
"233",275,159,64,2017,395,147,248,278,275,299,244,476,157,0,141,398,0,32,3,33,500
"234",271,158,66,1851,382,145,237,280,265,291,242,515,187,0,149,445,0,138,2,31,600
"235",276,158,63,2046,397,149,248,279,276,301,246,481,155,0,138,399,1,33,3,37,0
"236",269,157,65,1932,382,143,239,275,265,289,238,469,166,0,143,400,0,131,2,50,500
"237",270,158,67,1844,379,144,235,279,264,289,241,509,185,0,147,440,0,135,2,40,800
"238",275,158,66,1741,386,149,237,281,271,292,247,574,197,0,145,490,0,161,2,23,150
"239",273,158,67,1792,380,147,233,282,266,291,245,549,202,0,149,474,0,139,2,28,267
"240",273,141,67,1429,368,158,210,278,271,286,250,671,241,0,146,571,0,48,2,19,571
"241",252,124,68,1861,328,147,181,271,234,272,227,367,138,0,156,325,0,290,2,48,650
"242",276,160,66,1873,388,148,240,284,270,295,247,534,192,0,147,460,0,142,2,24,500
"243",256,132,70,1802,334,146,188,273,240,274,230,377,142,0,153,333,0,224,2,44,100
"244",275,158,66,1741,386,149,237,281,271,292,247,574,197,0,145,490,0,161,2,23,188
"245",268,155,67,1816,374,144,230,278,262,287,239,494,179,0,147,427,0,129,2,37,400
"246",272,160,65,1918,390,145,245,276,271,293,242,507,174,0,141,426,0,36,2,34,350
"247",268,157,66,1891,379,143,236,276,262,288,238,493,178,0,145,425,0,135,2,44,300
"248",255,126,66,2058,336,146,190,277,243,278,227,326,121,0,151,286,0,257,2,31,300
"249",275,159,67,1848,385,148,237,285,269,294,247,553,201,0,147,477,0,143,2,22,520
"250",272,160,66,1871,385,146,239,280,267,292,243,521,190,0,147,450,0,142,2,16,400
"251",274,159,67,1801,382,147,235,283,268,292,246,553,203,0,147,478,0,140,2,24,420
"252",256,131,68,1971,337,145,192,276,247,276,228,342,127,0,153,300,0,268,2,37,75
"253",273,137,67,1356,363,161,202,278,272,285,251,715,256,0,144,604,0,209,2,21,667
"254",272,158,67,1771,379,146,233,281,266,290,245,558,206,0,149,483,0,140,2,22,300
"255",255,126,66,2058,336,146,190,277,243,278,227,326,121,0,151,286,0,257,2,31,333
